1656;17913;32094;21779;56578;23391;19464;33676;21258;135;1365;46028;47238;46136;11994;39978;71;69261;15662;83561;9549;59278;11482;635;1533;2460
28169;1439;2555;2635;5936;1080;2054;876;9635;470;1164;3493;8163;2284;23633;1362;52;3619;4045;3401;45134;183;608;73;1384;86
56684;3628;6759;6454;65082;1825;4034;2833;77793;73;1478;4818;3871;32577;18815;5947;198;17205;39899;22159;6366;744;2761;5610;3749;218
37402;655;2404;12006;51769;458;1384;554;49141;36;495;15898;2073;43507;51402;5165;17;12335;3806;5244;3165;256;681;166;845;182
2215;13109;45251;77982;17920;11572;47971;30133;52419;17993;16456;84436;89680;75518;3204;38187;11;146607;100167;170627;31448;48037;12593;2871;14688;14788
2365;954;3765;1931;25485;12812;1036;951;26270;7;361;3085;551;19718;15389;998;37;3723;11733;7500;2577;341;460;337;903;61
17524;353;1221;2659;5633;161;3433;216;22026;26;365;676;1362;71758;8795;1451;302;11952;2629;2289;2260;18;456;44;676;32
393;669;33523;1368;4499;159;6202;279;355;15;291;351;413;922;201;2726;9;1037;20046;53213;152;90;4811;188;214;33
24813;15925;8942;36439;10987;32906;9414;17591;2694;50;14058;87012;13226;28582;19978;7239;134;80490;52334;127912;24966;30845;11466;1446;4622;606
180;12529;25;395;103;22;44;9;15;0;2;12;20;5495;776;50;0;95;20;20;34;0;10;2;2;0
5247;153;19121;850;997;70;167;224;736;0;89;874;514;2610;5519;456;84;3283;13588;1973;141;7;131;50;519;0
82230;60859;32637;5931;48653;11588;4626;1111;28629;10;597;56907;817;12033;51662;25272;190;3662;3993;8244;27178;243;545;237;1002;240
67485;1488;3430;3353;43781;956;3447;2387;29267;57;584;2118;20422;3174;32129;2821;46;14222;4957;10103;19364;2990;4652;215;2272;204
51599;945;1996;1262;123382;960;5107;504;178840;49;883;1958;2015;9385;175547;1402;57;23925;3843;4680;30615;80;5429;46;3928;92
1718;13075;115653;17152;10268;30716;5738;27698;74431;853;221;38228;39880;16842;39430;41483;32;48624;17267;57029;340;14910;16123;408;3735;2560
19730;1270;3740;4454;16738;1331;2639;1080;15092;128;1132;5835;23808;6392;18505;8966;53;7216;29384;18851;12874;1395;1613;3517;23454;182
125;4;507;389;9788;49;66;40;454;1;58;84;214;1294;135;144;8;98;1839;169;53;15;179;2;737;2
93171;3830;24626;5450;174692;8494;9634;6313;14074;31;318;1744;2062;2582;76561;56681;305;17755;3640;58162;45972;178;4373;169;1703;128
61985;16567;9478;12803;79615;4400;10423;2841;55589;730;3890;18631;8230;44557;20257;6609;117;23190;37298;37875;36247;817;5140;973;19651;227
132557;1690;82746;5933;93646;3578;4917;6255;69886;36;870;18892;3585;146469;21911;15721;76;25274;107428;31583;26594;401;1380;23070;6160;163
7138;15869;11007;8244;3657;3340;12374;2740;1356;581;506;19526;5454;21733;32549;42303;16416;9802;25452;27215;495;17;4912;37;601;159
7008;950;2043;2289;18726;165;868;862;28254;1;553;3278;2672;8361;14081;1919;34;16834;3721;6034;1250;46;907;427;581;22
4791;500;840;1068;47528;102;683;247;1735;28;108;972;618;515;14270;585;21;1292;3795;4120;248;142;1089;35;12875;366
3332;106;3;230;40519;438;27;0;2430;0;0;180;16;166;415;72;9;1181;201;311;345;3;14;117;12;22
18832;5982;2061;1302;8669;720;136;401;2;0;104;26547;1702;1477;895;1354;2;26721;17743;41220;144;43;8;497;60;1045
1232;10;92;55;445;28;105;67;14366;1;12;97;150;159;63;15;0;47;240;204;73;8;104;67;377;55
